Model,Holdout,bin,rows,fraud_rows,score_min,score_max,mean_score,observed_fraud_rate,abs_calibration_error
Dummy[Raw],sampled,1,2008,6,0.0015215,0.0015215,0.0015215,0.002988048,0.001466548
Dummy[Raw],sampled,2,2008,12,0.0015215,0.0015215,0.0015215,0.005976096,0.004454596
Dummy[Raw],sampled,3,2008,12,0.0015215,0.0015215,0.0015215,0.005976096,0.004454596
Dummy[Raw],sampled,4,2008,11,0.0015215,0.0015215,0.0015215,0.005478088,0.003956588
Dummy[Raw],sampled,5,2008,12,0.0015215,0.0015215,0.0015215,0.005976096,0.004454596
Dummy[Raw],sampled,6,2007,4,0.0015215,0.0015215,0.0015215,0.001993024,0.000471524
Dummy[Raw],sampled,7,2007,6,0.0015215,0.0015215,0.0015215,0.002989537,0.001468037
Dummy[Raw],sampled,8,2007,2,0.0015215,0.0015215,0.0015215,0.000996512,0.000524988
Dummy[Raw],sampled,9,2007,5,0.0015215,0.0015215,0.0015215,0.002491281,0.000969781
Dummy[Raw],sampled,10,2007,5,0.0015215,0.0015215,0.0015215,0.002491281,0.000969781
Dummy[Raw],full,1,5697,6,0.0015215,0.0015215,0.0015215,0.001053186,0.000468314
Dummy[Raw],full,2,5697,12,0.0015215,0.0015215,0.0015215,0.002106372,0.000584872
Dummy[Raw],full,3,5696,12,0.0015215,0.0015215,0.0015215,0.002106742,0.000585242
Dummy[Raw],full,4,5696,11,0.0015215,0.0015215,0.0015215,0.00193118,0.00040968
Dummy[Raw],full,5,5696,12,0.0015215,0.0015215,0.0015215,0.002106742,0.000585242
Dummy[Raw],full,6,5696,4,0.0015215,0.0015215,0.0015215,0.000702247,0.000819253
Dummy[Raw],full,7,5696,6,0.0015215,0.0015215,0.0015215,0.001053371,0.000468129
Dummy[Raw],full,8,5696,2,0.0015215,0.0015215,0.0015215,0.000351124,0.001170376
Dummy[Raw],full,9,5696,5,0.0015215,0.0015215,0.0015215,0.000877809,0.000643691
Dummy[Raw],full,10,5696,5,0.0015215,0.0015215,0.0015215,0.000877809,0.000643691
XGBoost[Raw all-history incumbent],sampled,1,2008,0,1.000000012e-07,1.221687e-07,1.018578967e-07,0.0,1.018578967e-07
XGBoost[Raw all-history incumbent],sampled,2,2008,0,1.223774149e-07,2.996461603e-07,2.058147751e-07,0.0,2.058147751e-07
XGBoost[Raw all-history incumbent],sampled,3,2008,0,2.996513047e-07,5.911535936e-07,4.308676691e-07,0.0,4.308676691e-07
XGBoost[Raw all-history incumbent],sampled,4,2008,0,5.917943895e-07,1.055057396e-06,8.049651049e-07,0.0,8.049651049e-07
XGBoost[Raw all-history incumbent],sampled,5,2008,0,1.055365374e-06,1.831951636e-06,1.413303144e-06,0.0,1.413303144e-06
XGBoost[Raw all-history incumbent],sampled,6,2007,0,1.83271527e-06,3.161200311e-06,2.420906039e-06,0.0,2.420906039e-06
XGBoost[Raw all-history incumbent],sampled,7,2007,2,3.163911742e-06,5.885446171e-06,4.372674409e-06,0.000996512,0.00099214
XGBoost[Raw all-history incumbent],sampled,8,2007,0,5.895355116e-06,1.242118287e-05,8.542456167e-06,0.0,8.542456167e-06
XGBoost[Raw all-history incumbent],sampled,9,2007,3,1.24217504e-05,3.770125113e-05,2.196543752e-05,0.001494768,0.001472803
XGBoost[Raw all-history incumbent],sampled,10,2007,70,3.774146899e-05,0.999999523,0.030679529,0.034877927,0.004198399
