Model,Publication Label,Holdout,bin,rows,fraud_rows,score_min,score_max,mean_score,observed_fraud_rate,abs_calibration_error
XGBoost[Raw all-history incumbent] Calibration Base,Raw all-history XGBoost base,full,1,5697,0,1.000000012e-07,1.000000012e-07,1.000000012e-07,0.0,1.000000012e-07
XGBoost[Raw all-history incumbent] Calibration Base,Raw all-history XGBoost base,full,2,5697,0,1.000000012e-07,2.323207724e-07,1.543424646e-07,0.0,1.543424646e-07
XGBoost[Raw all-history incumbent] Calibration Base,Raw all-history XGBoost base,full,3,5696,0,2.324320292e-07,4.726622649e-07,3.412055417e-07,0.0,3.412055417e-07
XGBoost[Raw all-history incumbent] Calibration Base,Raw all-history XGBoost base,full,4,5696,0,4.727109797e-07,8.681143413e-07,6.533257988e-07,0.0,6.533257988e-07
XGBoost[Raw all-history incumbent] Calibration Base,Raw all-history XGBoost base,full,5,5696,1,8.681358281e-07,1.511639539e-06,1.161036488e-06,0.000175562,0.000174401
XGBoost[Raw all-history incumbent] Calibration Base,Raw all-history XGBoost base,full,6,5696,0,1.511705818e-06,2.602819904e-06,2.011579896e-06,0.0,2.011579896e-06
XGBoost[Raw all-history incumbent] Calibration Base,Raw all-history XGBoost base,full,7,5696,1,2.602941777e-06,4.732261004e-06,3.54020963e-06,0.000175562,0.000172022
XGBoost[Raw all-history incumbent] Calibration Base,Raw all-history XGBoost base,full,8,5696,2,4.732721663e-06,1.005279955e-05,6.909839883e-06,0.000351124,0.000344214
XGBoost[Raw all-history incumbent] Calibration Base,Raw all-history XGBoost base,full,9,5696,2,1.005291324e-05,3.063378608e-05,1.758752224e-05,0.000351124,0.000333536
XGBoost[Raw all-history incumbent] Calibration Base,Raw all-history XGBoost base,full,10,5696,69,3.063869735e-05,0.999999523,0.012862631,0.012113764,0.000748867
XGBoost[Raw all-history incumbent] Calibrated,Raw all-history XGBoost calibrated,full,1,5697,0,0.000254932,0.000254932,0.000254932,0.0,0.000254932
XGBoost[Raw all-history incumbent] Calibrated,Raw all-history XGBoost calibrated,full,2,5697,0,0.000254932,0.000254932,0.000254932,0.0,0.000254932
XGBoost[Raw all-history incumbent] Calibrated,Raw all-history XGBoost calibrated,full,3,5696,0,0.000254932,0.000254933,0.000254933,0.0,0.000254933
XGBoost[Raw all-history incumbent] Calibrated,Raw all-history XGBoost calibrated,full,4,5696,0,0.000254933,0.000254934,0.000254934,0.0,0.000254934
XGBoost[Raw all-history incumbent] Calibrated,Raw all-history XGBoost calibrated,full,5,5696,1,0.000254934,0.000254936,0.000254935,0.000175562,7.937340404e-05
XGBoost[Raw all-history incumbent] Calibrated,Raw all-history XGBoost calibrated,full,6,5696,0,0.000254936,0.00025494,0.000254938,0.0,0.000254938
XGBoost[Raw all-history incumbent] Calibrated,Raw all-history XGBoost calibrated,full,7,5696,1,0.00025494,0.000254946,0.000254942,0.000175562,7.938051324e-05
XGBoost[Raw all-history incumbent] Calibrated,Raw all-history XGBoost calibrated,full,8,5696,2,0.000254946,0.000254962,0.000254952,0.000351124,9.617121538e-05
XGBoost[Raw all-history incumbent] Calibrated,Raw all-history XGBoost calibrated,full,9,5696,2,0.000254962,0.000255023,0.000254984,0.000351124,9.613930525e-05
XGBoost[Raw all-history incumbent] Calibrated,Raw all-history XGBoost calibrated,full,10,5696,69,0.000255023,0.969217648,0.010994991,0.012113764,0.001118773
XGBoost[Raw] Calibration Base,Raw XGBoost base,full,1,5697,0,1.000000012e-07,6.826403478e-07,4.023106173e-07,0.0,4.023106173e-07
XGBoost[Raw] Calibration Base,Raw XGBoost base,full,2,5697,0,6.826403478e-07,1.191563001e-06,9.391962436e-07,0.0,9.391962436e-07
XGBoost[Raw] Calibration Base,Raw XGBoost base,full,3,5696,0,1.191620868e-06,1.807406647e-06,1.493881359e-06,0.0,1.493881359e-06
XGBoost[Raw] Calibration Base,Raw XGBoost base,full,4,5696,0,1.807598096e-06,2.561279871e-06,2.174527135e-06,0.0,2.174527135e-06
XGBoost[Raw] Calibration Base,Raw XGBoost base,full,5,5696,0,2.561328529e-06,3.580041493e-06,3.03547833e-06,0.0,3.03547833e-06
XGBoost[Raw] Calibration Base,Raw XGBoost base,full,6,5696,1,3.580239763e-06,5.105790933e-06,4.278562944e-06,0.000175562,0.000171283
XGBoost[Raw] Calibration Base,Raw XGBoost base,full,7,5696,0,5.10688642e-06,7.83944779e-06,6.326283173e-06,0.0,6.326283173e-06
XGBoost[Raw] Calibration Base,Raw XGBoost base,full,8,5696,3,7.840046237e-06,1.32146306e-05,1.017137592e-05,0.000526685,0.000516514
XGBoost[Raw] Calibration Base,Raw XGBoost base,full,9,5696,2,1.321658237e-05,3.023711179e-05,1.974333201e-05,0.000351124,0.00033138
XGBoost[Raw] Calibration Base,Raw XGBoost base,full,10,5696,69,3.024553189e-05,0.999943733,0.011054122,0.012113764,0.001059642
XGBoost[Raw] Calibrated,Raw XGBoost calibrated,full,1,5697,0,0.000299532,0.000299535,0.000299533,0.0,0.000299533
XGBoost[Raw] Calibrated,Raw XGBoost calibrated,full,2,5697,0,0.000299535,0.000299537,0.000299536,0.0,0.000299536
XGBoost[Raw] Calibrated,Raw XGBoost calibrated,full,3,5696,0,0.000299537,0.000299539,0.000299538,0.0,0.000299538
XGBoost[Raw] Calibrated,Raw XGBoost calibrated,full,4,5696,0,0.000299539,0.000299542,0.000299541,0.0,0.000299541
XGBoost[Raw] Calibrated,Raw XGBoost calibrated,full,5,5696,0,0.000299542,0.000299547,0.000299544,0.0,0.000299544
XGBoost[Raw] Calibrated,Raw XGBoost calibrated,full,6,5696,1,0.000299547,0.000299553,0.00029955,0.000175562,0.000123988
XGBoost[Raw] Calibrated,Raw XGBoost calibrated,full,7,5696,0,0.000299553,0.000299565,0.000299558,0.0,0.000299558
XGBoost[Raw] Calibrated,Raw XGBoost calibrated,full,8,5696,3,0.000299565,0.000299587,0.000299575,0.000526685,0.000227111
XGBoost[Raw] Calibrated,Raw XGBoost calibrated,full,9,5696,2,0.000299587,0.000299659,0.000299615,0.000351124,5.15086507e-05
XGBoost[Raw] Calibrated,Raw XGBoost calibrated,full,10,5696,69,0.000299659,0.997468203,0.01074892,0.012113764,0.001364844
XGBoost[Raw + TabPFN embeddings] Calibration Base,Raw + TabPFN base,full,1,5697,0,2.517104178e-07,3.34771812e-06,1.968518526e-06,0.0,1.968518526e-06
XGBoost[Raw + TabPFN embeddings] Calibration Base,Raw + TabPFN base,full,2,5697,0,3.347938446e-06,6.065624348e-06,4.698467489e-06,0.0,4.698467489e-06
XGBoost[Raw + TabPFN embeddings] Calibration Base,Raw + TabPFN base,full,3,5696,0,6.065705747e-06,9.226707334e-06,7.571138947e-06,0.0,7.571138947e-06
XGBoost[Raw + TabPFN embeddings] Calibration Base,Raw + TabPFN base,full,4,5696,1,9.228115232e-06,1.300334588e-05,1.101774787e-05,0.000175562,0.000164544
XGBoost[Raw + TabPFN embeddings] Calibration Base,Raw + TabPFN base,full,5,5696,0,1.300428812e-05,1.834264731e-05,1.547301206e-05,0.0,1.547301206e-05
XGBoost[Raw + TabPFN embeddings] Calibration Base,Raw + TabPFN base,full,6,5696,0,1.834490467e-05,2.65690469e-05,2.20603161e-05,0.0,2.20603161e-05
XGBoost[Raw + TabPFN embeddings] Calibration Base,Raw + TabPFN base,full,7,5696,0,2.656953075e-05,4.1841653e-05,3.325421905e-05,0.0,3.325421905e-05
