Model,Base Model,Family,Feature Set,Embedding Source,Calibration,Holdout,Rows,Fraud Rate,Average Precision,Top 0.5% Alerts,Top 0.5% Precision,Top 0.5% Recall,Top 1% Alerts,Top 1% Precision,Top 1% Recall,CV/Validation Average Precision,ROC AUC,Log Loss,Brier Score,ECE Quantile 10,Shared Feature Prep Seconds,Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Total Seconds,Workflow Seconds,Timing Notes,Best Params,Error
XGBoost[Raw all-history incumbent],XGBoost,classical_incumbent,Raw all-history incumbent,none,none,full,56962,0.001316667251852112,0.8096536713939018,285,0.22456140350877193,0.8533333333333334,570,0.11228070175438597,0.8533333333333334,0.7973692502289911,0.983270225769215,0.002824181426903597,0.0004243075158720774,0.00010427372043607744,0.0,0.0,173.17133596999997,0.0,0.16688249600008476,173.33821846600006,173.33821846600006,raw all-history rolling chronological tuning + final pre-holdout refit,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw] Calibration Base,XGBoost,classical_calibration_base,Raw,none,none_calibration_base,full,56962,0.001316667251852112,0.8047194181315084,285,0.22105263157894736,0.84,570,0.11228070175438597,0.8533333333333334,0.7809144670826111,0.9780446616391559,0.002835099775129361,0.00039621582077160997,0.00020931176735530436,0.0,0.0,146.6848468190001,0.0,0.1728892910000468,146.85773611000013,146.85773611000013,validation tuning + train/validation base fit without calibration-window labels,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw] Calibrated,XGBoost,classical_calibrated,Raw,none,sigmoid,full,56962,0.001316667251852112,0.8047194181315083,285,0.22105263157894736,0.84,570,0.11228070175438597,0.8533333333333334,0.7809144670826111,0.978044661639156,0.0032871756318691167,0.00042195374481065177,0.0003564682139509227,0.0,0.0,144.88464098400004,2.1764049089999844,0.7008910819999983,147.76193697500003,147.76193697500003,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw],XGBoost,classical,Raw,none,none,full,56962,0.001316667251852112,0.803442885071673,285,0.22105263157894736,0.84,570,0.11403508771929824,0.8666666666666667,0.7809144670826111,0.9844412021492902,0.0027675186758340867,0.00040268014527582695,0.0002312089715444221,0.0,0.0,146.77877575499997,0.0,0.17964856300000065,146.95842431799997,146.95842431799997,rolling chronological tuning + final pre-holdout refit,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,classical_incumbent_calibrated,Raw all-history incumbent,none,sigmoid,full,56962,0.001316667251852112,0.7996571568773623,285,0.22456140350877193,0.8533333333333334,570,0.11403508771929824,0.8666666666666667,0.7973692502289911,0.97634538646791,0.0031742643982016127,0.0004072162665279853,0.0002744498373590165,0.0,0.0,171.03337644400006,2.309417309999958,0.7430547360000901,174.0858484900001,174.0858484900001,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,classical_incumbent_calibration_base,Raw all-history incumbent,none,none_calibration_base,full,56962,0.001316667251852112,0.7996571568773622,285,0.22456140350877193,0.8533333333333334,570,0.11403508771929824,0.8666666666666667,0.7973692502289911,0.97634538646791,0.0030608989564353023,0.00044737748415791287,0.0001776237050814681,0.0,0.0,173.000900913,0.0,0.16756161900002553,173.16846253200004,173.16846253200004,validation tuning + train/validation base fit without calibration-window labels,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabICL embeddings,TabICL,none_calibration_base,full,56962,0.001316667251852112,0.7977784009085886,285,0.22105263157894736,0.84,570,0.11228070175438597,0.8533333333333334,0.7781695469540795,0.972921288402154,0.002719194474758636,0.00044532955672072524,0.00035895555218641643,120.45226728199987,120.45226728199987,1024.5196926850003,0.0,2.583802308000031,1027.1034949930004,1147.5557622750002,validation tuning + train/validation base fit without calibration-window labels; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabICL embeddings,TabICL,sigmoid,full,56962,0.001316667251852112,0.7977784009085884,285,0.22105263157894736,0.84,570,0.11228070175438597,0.8533333333333334,0.7781695469540795,0.972921288402154,0.003090991598009541,0.0004304929462390972,0.0002984111740374939,120.45226728199987,120.45226728199987,1021.8647960510002,7.319818449000195,11.11450608999985,1040.2991205900003,1160.7513878720001,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
XGBoost[Raw + TabICL embeddings],XGBoost,classical,Raw + TabICL embeddings,TabICL,none,full,56962,0.001316667251852112,0.7970291142277164,285,0.21754385964912282,0.8266666666666667,570,0.11929824561403508,0.9066666666666666,0.7781695469540795,0.981023901184219,0.0025834226640038165,0.00045125018951965885,0.0004847094886559772,120.45226728199987,120.45226728199987,1024.891724859,0.0,2.4982170650000626,1027.3899419240001,1147.842209206,rolling chronological tuning + final pre-holdout refit; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabPFN embeddings,TabPFN,none_calibration_base,full,56962,0.001316667251852112,0.7918116173688937,285,0.21052631578947367,0.8,570,0.11228070175438597,0.8533333333333334,0.7929743714241785,0.9748115855409262,0.0026694174044267368,0.0004073230457477183,0.00016339197340057703,371.3705129709999,371.3705129709999,467.1201625210001,0.0,0.9511392669999168,468.071301788,839.441814759,validation tuning + train/validation base fit without calibration-window labels; shared offline embedding feature prep,"{'colsample_bytree': 0.9787160975551121, 'learning_rate': 0.030310114166357094, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 7.18848093363432, 'n_estimators': 696, 'reg_alpha': 0.05805302225953136, 'reg_lambda': 2.616000600229115, 'scale_pos_weight': 1.0, 'subsample': 0.768836564001532}",
